step,loss,real_crps,synth_ed,steps/s
22000,0.037999,-1.246055
22050,-0.211837,0.045197,0.004054,4.159414
22100,-0.207643,0.045938,0.004150,4.159450
22150,-0.209911,0.045668,0.004037,4.159444
22200,-0.209971,0.045278,0.004055,4.159336
22250,-0.211688,0.044893,0.004100,4.159324
22300,-0.208188,0.046038,0.004102,4.159418
22350,-0.207231,0.046463,0.004060,4.159491
22400,-0.207618,0.046216,0.004025,4.159576
22450,-0.204783,0.047157,0.004045,4.159609
22500,-0.209043,0.046081,0.004172,4.159546
22500,0.037989,-1.246055
22550,-0.211902,0.045253,0.004091,4.159510
22600,-0.207383,0.046514,0.003964,4.159616
22650,-0.213516,0.044786,0.004051,4.159663
22700,-0.206310,0.046286,0.004155,4.159700
22750,-0.214970,0.044424,0.004063,4.159775
22800,-0.206149,0.046397,0.004092,4.159807
22850,-0.208050,0.045942,0.004245,4.159824
22900,-0.203639,0.046607,0.004001,4.159847
22950,-0.210751,0.045497,0.004078,4.159855
23000,-0.207226,0.046591,0.003994,4.159917
23000,0.037989,-1.246055
23050,-0.206547,0.046921,0.004047,4.159890
23100,-0.213323,0.044741,0.004102,4.159947
23150,-0.208746,0.045917,0.004006,4.159964
23200,-0.208805,0.046199,0.004073,4.160074
23250,-0.205431,0.046619,0.004086,4.160101
23300,-0.205850,0.046756,0.004163,4.160102
23350,-0.208073,0.046055,0.004083,4.160169
23400,-0.209698,0.045672,0.004058,4.160175
23450,-0.210725,0.045354,0.004036,4.160209
23500,-0.209259,0.046059,0.004095,4.160255
23500,0.037984,-1.246055
23550,-0.206634,0.046679,0.004110,4.160091
23600,-0.210676,0.045647,0.004071,4.160112
23650,-0.207267,0.045916,0.004094,4.160165
23700,-0.206865,0.046477,0.004119,4.160173
23750,-0.213172,0.044809,0.004036,4.160193
23800,-0.210094,0.045804,0.004043,4.160266
23850,-0.206103,0.046977,0.003968,4.160347
23900,-0.210909,0.045802,0.004146,4.160381
23950,-0.204665,0.046950,0.004048,4.160448
24000,-0.208635,0.046352,0.004099,4.160472
24000,0.037993,-1.246055
24050,-0.209566,0.046170,0.004005,4.160117
24100,-0.207118,0.046324,0.004068,4.160174
24150,-0.207050,0.046522,0.004123,4.160143
24200,-0.203692,0.047079,0.004059,4.160146
24250,-0.209248,0.046135,0.004108,4.160181
24300,-0.214214,0.044687,0.003950,4.160203
24350,-0.214392,0.044611,0.004006,4.160166
24400,-0.210108,0.045085,0.004091,4.160146
24450,-0.205776,0.047133,0.004087,4.160213
24500,-0.211412,0.045750,0.003946,4.160210
24500,0.037966,-1.246055
24550,-0.205114,0.046995,0.004122,4.159903
24600,-0.206551,0.046630,0.004005,4.159922
24650,-0.210511,0.045512,0.003997,4.159921
