step,loss,real_crps,synth_ed,steps/s,real_frac
20750,-0.993280,0.046537,0.003496,4.487300,0.445312
20800,-1.018145,0.045678,0.003550,4.488758,0.449219
20850,-1.017622,0.045609,0.003551,4.490189,0.449219
20900,-1.003643,0.046524,0.003506,4.491684,0.449219
20950,-0.989067,0.046804,0.003494,4.493167,0.449219
21000,-1.005608,0.046527,0.003446,4.494630,0.449219
21000,0.037717,-1.275562
21050,-0.990892,0.047195,0.003571,4.496004,0.449219
21100,-1.030672,0.045249,0.003612,4.497462,0.453125
21150,-1.006421,0.046786,0.003526,4.498984,0.453125
21200,-0.997179,0.047114,0.003562,4.500458,0.453125
21250,-1.013623,0.046656,0.003502,4.501906,0.453125
21300,-1.022412,0.045911,0.003600,4.503329,0.453125
21350,-1.024087,0.046140,0.003640,4.504814,0.453125
21400,-1.003538,0.046997,0.003573,4.506270,0.453125
21450,-1.026736,0.046072,0.003551,4.507675,0.457031
21500,-1.025553,0.046267,0.003617,4.509209,0.457031
21500,0.037717,-1.275562
21550,-1.025618,0.046285,0.003585,4.510630,0.457031
21600,-1.016934,0.046765,0.003612,4.512116,0.457031
21650,-1.015540,0.047005,0.003569,4.513582,0.457031
21700,-1.017393,0.046724,0.003612,4.515009,0.457031
21750,-1.024432,0.046628,0.003540,4.516471,0.460938
21800,-1.019252,0.047220,0.003518,4.518014,0.460938
21850,-1.035595,0.046444,0.003554,4.519532,0.460938
21900,-1.066416,0.044671,0.003569,4.521010,0.460938
21950,-1.033453,0.046534,0.003648,4.522470,0.460938
22000,-1.033711,0.046442,0.003573,4.523964,0.460938
22000,0.037717,-1.275562
22050,-1.015423,0.047169,0.003531,4.525012,0.460938
22100,-1.025938,0.046841,0.003566,4.526513,0.464844
22150,-1.047891,0.046066,0.003540,4.528060,0.464844
22200,-1.054099,0.045557,0.003511,4.529517,0.464844
22250,-1.060927,0.045466,0.003525,4.531022,0.464844
22300,-1.034602,0.046667,0.003455,4.532553,0.464844
22350,-1.056803,0.045451,0.003545,4.534020,0.464844
22400,-1.052191,0.045866,0.003590,4.535488,0.468750
22450,-1.041505,0.046728,0.003592,4.537061,0.468750
22500,-1.047574,0.046351,0.003518,4.538605,0.468750
22500,0.037717,-1.275562
22550,-1.039889,0.046710,0.003558,4.540045,0.468750
22600,-1.062237,0.045581,0.003519,4.541561,0.468750
22650,-1.060599,0.045797,0.003524,4.543022,0.468750
22700,-1.066124,0.045610,0.003724,4.544500,0.468750
22750,-1.032849,0.046982,0.003617,4.546014,0.472656
22800,-1.028127,0.047810,0.003555,4.547443,0.472656
22850,-1.057228,0.046072,0.003515,4.548955,0.472656
