step,loss,real_crps,synth_ed,steps/s
24500,-0.198073,0.047213,0.004484,4.536480
24500,0.037562,-1.299469
24550,-0.198647,0.046390,0.004576,4.536507
24600,-0.194746,0.047893,0.004410,4.536626
24650,-0.201857,0.045732,0.004393,4.536674
24700,-0.198126,0.047173,0.004485,4.536818
24750,-0.196707,0.046848,0.004500,4.536925
24800,-0.203634,0.045144,0.004449,4.537036
24850,-0.203732,0.045322,0.004479,4.537166
24900,-0.204745,0.044650,0.004431,4.537247
24950,-0.198322,0.046566,0.005051,4.537340
25000,-0.197973,0.046479,0.004540,4.537519
25000,0.037583,-1.299469
25050,-0.201496,0.045382,0.004368,4.537513
25100,-0.201576,0.045334,0.004450,4.537624
25150,-0.200102,0.046231,0.004453,4.537723
25200,-0.200021,0.046317,0.004493,4.537870
25250,-0.196405,0.047332,0.004485,4.538017
25300,-0.199800,0.046246,0.004505,4.538150
25350,-0.199444,0.046204,0.004486,4.538198
25400,-0.195461,0.047125,0.004567,4.538326
25450,-0.201790,0.045483,0.004473,4.538438
25500,-0.201517,0.045982,0.004424,4.538582
25500,0.037586,-1.299469
25550,-0.200337,0.045782,0.004592,4.538557
25600,-0.201413,0.045725,0.004449,4.538666
25650,-0.201128,0.045637,0.004496,4.538757
25700,-0.193720,0.048078,0.004490,4.538812
25750,-0.197866,0.046581,0.004485,4.538931
25800,-0.194747,0.047520,0.004508,4.539037
25850,-0.201928,0.045767,0.004508,4.539125
25900,-0.199453,0.046277,0.004529,4.539202
25950,-0.200755,0.045425,0.004464,4.539330
26000,-0.196791,0.047105,0.004501,4.539396
26000,0.037570,-1.299469
26050,-0.202366,0.045556,0.004530,4.539191
26100,-0.199018,0.046223,0.004487,4.539334
26150,-0.201254,0.045815,0.004476,4.539444
26200,-0.204710,0.045567,0.004503,4.539562
26250,-0.196202,0.046968,0.004462,4.539651
26300,-0.195632,0.047037,0.004503,4.539777
26350,-0.195536,0.047382,0.004452,4.539867
26400,-0.197532,0.047008,0.004446,4.539987
26450,-0.198034,0.046577,0.004569,4.540074
26500,-0.198958,0.046315,0.004509,4.540142
26500,0.037554,-1.299469
26550,-0.197795,0.047188,0.004473,4.540182
26600,-0.199960,0.046198,0.004457,4.540259
26650,-0.196447,0.046819,0.004529,4.540316
26700,-0.198797,0.046462,0.004494,4.540402
26750,-0.195608,0.047902,0.004410,4.540413
26800,-0.202400,0.045540,0.004578,4.540509
26850,-0.199057,0.046435,0.004536,4.540570
26900,-0.200712,0.045945,0.004490,4.540633
26950,-0.200656,0.045354,0.004506,4.540712
27000,-0.203859,0.044742,0.004453,4.540808
27000,0.037553,-1.299469
27050,-0.201033,0.045915,0.004492,4.540780
27100,-0.198521,0.046728,0.004460,4.540903
27150,-0.202306,0.045656,0.004465,4.541032
27200,-0.199071,0.046603,0.004506,4.541133
27250,-0.199588,0.046846,0.004438,4.541214
27300,-0.201303,0.046287,0.004503,4.541298
27350,-0.198300,0.046891,0.004448,4.541403
27400,-0.197500,0.046871,0.004494,4.541457
