step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu,mean_mse,pred_mean_std
8300,2,0.000281,-7.084220,-1.547294,0.270366,0.033391,-1.566642,0.183987,0.086379,0.936836,0.002724,0.043270,1.000000,44.951908,19.504815,27.514574,3.316052,0.008839,0.006358
8400,2,0.000280,-7.321959,-1.543980,0.333497,0.033725,-1.564164,0.178668,0.154829,0.939883,0.002810,0.043454,1.000000,100.942858,19.509760,27.422173,3.344411,0.011072,0.005366
8500,2,0.000279,-8.304455,-1.542371,0.302083,0.033757,-1.562024,0.189282,0.112801,0.936836,0.002604,0.043170,1.000000,267.443970,19.515057,27.329325,3.245687,0.009248,0.004417
8600,2,0.000279,-7.316052,-1.533100,0.353378,0.034055,-1.552867,0.187732,0.165646,0.936602,0.002664,0.043232,1.000000,53.150062,19.520273,27.236641,3.238464,0.009133,0.005424
8700,2,0.000278,-5.861863,-1.530851,0.310791,0.034020,-1.550877,0.189447,0.121344,0.936094,0.002653,0.044036,1.000000,57.571517,19.525199,27.144409,3.240463,0.010052,0.005563
8800,2,0.000278,-7.835691,-1.538331,0.249847,0.034378,-1.559299,0.177445,0.072401,0.941992,0.002753,0.042509,1.000000,205.056843,19.529953,27.052463,3.141492,0.012596,0.006254
8900,2,0.000277,-7.587726,-1.550604,0.271193,0.033172,-1.569722,0.176655,0.094538,0.939688,0.002588,0.042758,1.000000,62.794346,19.534278,26.961153,3.209102,0.008439,0.005343
9000,2,0.000276,-7.400796,-1.542242,0.365074,0.033779,-1.562106,0.173895,0.191179,0.940430,0.002977,0.042872,1.000000,1303.962619,19.538197,26.870443,3.254791,0.009914,0.005918
9100,2,0.000276,-8.208812,-1.538400,0.317204,0.034004,-1.558404,0.179519,0.137685,0.940820,0.002937,0.043500,1.000000,63.873538,19.542029,26.779888,3.325675,0.010005,0.005870
9200,2,0.000275,-6.231235,-1.545739,0.240619,0.033648,-1.565237,0.176546,0.064073,0.940039,0.002525,0.043619,1.000000,457.001171,19.546101,26.689040,3.254692,0.008913,0.004749
9300,2,0.000274,-7.313740,-1.529899,0.260339,0.034359,-1.550188,0.168626,0.091713,0.942109,0.002810,0.043652,1.000000,743.595415,19.550454,26.597848,3.265565,0.010367,0.005921
9400,2,0.000274,-7.157747,-1.533136,0.298365,0.033857,-1.552839,0.181251,0.117114,0.942031,0.002994,0.043454,1.000000,149.010750,19.552884,26.509303,3.178081,0.009248,0.005275
9500,2,0.000273,-5.955021,-1.537823,0.274287,0.034305,-1.558799,0.183810,0.090477,0.938086,0.002735,0.042822,1.000000,26.565849,19.556883,26.418661,3.167183,0.012747,0.005793
9600,2,0.000272,-5.595441,-1.536402,0.262288,0.033990,-1.556376,0.176981,0.085306,0.941055,0.003029,0.042848,1.000000,41.488955,19.560103,26.329104,3.188195,0.009931,0.006394
9700,2,0.000271,-6.609948,-1.535700,0.266453,0.034065,-1.555720,0.178732,0.087721,0.939805,0.002442,0.043938,1.000000,41.537644,19.564169,26.238442,3.218345,0.009959,0.004553
9800,2,0.000271,-6.908011,-1.530174,0.257095,0.034354,-1.550602,0.184039,0.073056,0.937930,0.002993,0.043246,1.000000,338.197085,19.568192,26.147876,3.131525,0.010835,0.006102
9900,2,0.000270,-6.447806,-1.542143,0.347249,0.034154,-1.562714,0.174138,0.173112,0.943672,0.002835,0.043624,1.000000,45.234150,19.572108,26.057489,3.254754,0.011647,0.005713
10000,2,0.000269,-6.849643,-1.532014,0.286112,0.034468,-1.552261,0.162572,0.123540,0.944609,0.002711,0.043251,1.000000,152.810949,19.575697,25.967573,3.202940,0.010046,0.005034
10100,2,0.000269,-6.905552,-1.551201,0.279508,0.033162,-1.570270,0.173861,0.105647,0.941836,0.003008,0.042778,1.000000,98.982490,19.535872,25.935196,3.330854,0.008294,0.005137
10200,2,0.000268,-7.709419,-1.539683,0.227263,0.033820,-1.559152,0.168053,0.059210,0.943711,0.002643,0.043822,1.000000,49.953969,19.539453,25.845145,3.261215,0.008529,0.004400
10300,2,0.000267,-7.278747,-1.543015,0.249047,0.033941,-1.563215,0.169453,0.079594,0.942422,0.002601,0.043095,1.000000,80.814140,19.542965,25.755218,3.311236,0.010764,0.004182
10400,2,0.000266,-7.365702,-1.543359,0.244936,0.033838,-1.563147,0.165888,0.079048,0.942969,0.002764,0.043529,1.000000,21.575835,19.546386,25.665444,3.266652,0.009564,0.006805
