step,epoch,lr,loss,ed,nll,sde_acc,vol_mse,steps/s,eta_min
68400,16,0.000081,0.587032,0.003520,-0.786533,0.423359,0.001499,65.458637,42.255692
68500,16,0.000081,0.584421,0.003576,-0.783492,0.425469,0.001483,65.312383,42.324797
68600,16,0.000081,0.587748,0.003580,-0.784027,0.420352,0.001557,65.149479,42.405046
68700,16,0.000080,0.585020,0.003515,-0.794684,0.422109,0.001573,65.006017,42.472991
68800,16,0.000080,0.588169,0.003503,-0.791261,0.418086,0.001451,64.863678,42.540501
68900,16,0.000080,0.587167,0.003553,-0.788433,0.421797,0.001573,64.721960,42.607898
69000,16,0.000080,0.585887,0.003556,-0.782834,0.422930,0.002152,64.581903,42.674493
69100,16,0.000080,0.586898,0.003524,-0.799072,0.419648,0.001608,64.442562,42.740904
69200,16,0.000080,0.582927,0.003494,-0.787255,0.429219,0.001489,64.304100,42.807016
69300,16,0.000080,0.587783,0.003544,-0.775527,0.423242,0.001547,64.166168,42.873061
69400,17,0.000080,0.585346,0.003572,-0.778182,0.423438,0.001566,63.973770,42.975947
69500,17,0.000080,0.584971,0.003586,-0.783719,0.425039,0.001507,63.839126,43.040481
69600,17,0.000080,0.587831,0.003509,-0.783817,0.421211,0.001449,63.704990,43.104943
69700,17,0.000080,0.585507,0.003537,-0.780685,0.424258,0.001644,63.569951,43.170292
69800,17,0.000080,0.588042,0.003500,-0.785574,0.418242,0.001609,63.437408,43.234217
69900,17,0.000080,0.582518,0.003526,-0.796863,0.427305,0.001469,63.306219,43.297484
70000,17,0.000080,0.586073,0.003563,-0.778487,0.429492,0.001500,63.172394,43.362823
70000,-0.075120,0.003092,-0.782118,0.439941,0.004193
70100,17,0.000080,0.583110,0.003528,-0.784064,0.422891,0.001617,63.016187,43.443864
70200,17,0.000080,0.586253,0.003535,-0.780223,0.426016,0.001634,62.887961,43.505943
70300,17,0.000080,0.587943,0.003522,-0.783492,0.418945,0.001662,62.760473,43.567762
70400,17,0.000080,0.588015,0.003553,-0.773616,0.423008,0.001571,62.633201,43.629683
70500,17,0.000079,0.588042,0.003600,-0.778602,0.423711,0.001435,62.506489,43.691464
70600,17,0.000079,0.586350,0.003536,-0.785968,0.423594,0.001645,62.380307,43.753125
70700,17,0.000079,0.589883,0.003615,-0.775263,0.421797,0.001623,62.255754,43.813888
70800,17,0.000079,0.585185,0.003576,-0.784229,0.425312,0.001457,62.132663,43.873864
70900,17,0.000079,0.585435,0.003556,-0.785645,0.422695,0.001520,62.009755,43.933948
71000,17,0.000079,0.588797,0.003536,-0.779276,0.419727,0.001535,61.888314,43.993227
