step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
11700,2,0.000295,2.022500,-0.314063,1.452462,0.064033,-0.756423,1.434064,0.018398,0.351523,0.124663,0.119202,2.196965,32.427148,4.378535,401.504173
11800,3,0.000295,2.086797,-0.315059,1.456148,0.064175,-0.758438,1.437482,0.018666,0.346719,0.136367,0.116229,2.200112,375.525046,4.377293,401.237286
11900,3,0.000295,2.140078,-0.318164,1.450186,0.064375,-0.765117,1.432275,0.017912,0.355781,0.121992,0.123098,2.184037,39.112265,4.377360,400.850454
12000,3,0.000294,2.066562,-0.313584,1.446079,0.064287,-0.756005,1.429296,0.016784,0.357773,0.126562,0.128620,2.275330,50.648839,4.377523,400.454762
12000,0.002750,0.003764,0.004711,-0.372905,0.003763,-0.753336,0.068787,0.337891,0.014779,2.164198,0.103765,0.126536
12100,3,0.000294,1.946016,-0.314902,1.452284,0.064185,-0.758015,1.432801,0.019483,0.352383,0.126855,0.123430,2.246285,64.370997,4.377229,400.100941
12200,3,0.000294,1.925234,-0.320586,1.454080,0.063992,-0.769150,1.434423,0.019657,0.350977,0.125874,0.123932,2.279323,56.865935,4.377383,399.706059
12300,3,0.000294,1.956328,-0.315488,1.446922,0.064143,-0.759102,1.428284,0.018638,0.350313,0.127979,0.122645,2.270344,65.606924,4.377440,399.320141
12400,3,0.000294,2.014766,-0.309209,1.454135,0.064268,-0.746912,1.435349,0.018785,0.349766,0.133525,0.124030,2.317492,40.478098,4.377539,398.930357
12500,3,0.000294,1.952109,-0.312900,1.458053,0.064224,-0.754373,1.438011,0.020042,0.351406,0.126909,0.123347,2.295569,59.163378,4.377525,398.550950
12600,3,0.000294,1.958906,-0.314063,1.458921,0.064214,-0.756632,1.438315,0.020606,0.353789,0.125415,0.122644,2.355126,50.756035,4.377714,398.153003
12700,3,0.000294,2.357891,-0.314150,1.459341,0.064111,-0.756408,1.437273,0.022069,0.353242,0.139102,0.121237,2.360302,54.675498,4.377752,397.768876
12800,3,0.000294,1.841562,-0.317129,1.455864,0.064312,-0.763039,1.438464,0.017400,0.347656,0.129048,0.122669,2.317327,71.521514,4.377809,397.382969
12900,3,0.000293,1.971250,-0.315371,1.453929,0.064238,-0.759326,1.434625,0.019304,0.348359,0.134600,0.121233,2.273148,22.991499,4.377839,396.999554
13000,3,0.000293,1.988594,-0.313711,1.450657,0.064292,-0.756183,1.433931,0.016726,0.353398,0.132837,0.123094,2.258777,136.238684,4.378028,396.601652
13100,3,0.000293,1.887266,-0.312998,1.454968,0.064294,-0.754533,1.438653,0.016314,0.352812,0.138354,0.119571,2.291343,50.327034,4.378108,396.213754
13200,3,0.000293,2.056953,-0.313340,1.454026,0.064102,-0.754870,1.437473,0.016553,0.352266,0.125566,0.119775,2.320944,30.544876,4.378290,395.816657
13300,3,0.000293,1.817187,-0.311094,1.454180,0.064231,-0.750754,1.436773,0.017407,0.347500,0.132495,0.126657,2.363088,61.366001,4.378175,395.446369
13400,3,0.000293,1.771172,-0.318174,1.449960,0.064211,-0.764730,1.433928,0.016032,0.352539,0.139092,0.120824,2.280973,53.555553,4.378332,395.051534
13500,3,0.000293,1.738516,-0.317852,1.447591,0.064175,-0.764236,1.432142,0.015449,0.353125,0.134673,0.124484,2.303378,76.669834,4.378300,394.673757
13600,3,0.000293,1.673984,-0.317207,1.443316,0.064202,-0.763019,1.427074,0.016242,0.356992,0.141353,0.118910,2.282472,135.668148,4.378476,394.277179
13700,3,0.000292,1.956016,-0.312930,1.451204,0.064258,-0.754554,1.435416,0.015788,0.349297,0.148242,0.120803,2.285262,107.999411,4.378613,393.884212
13800,3,0.000292,2.089453,-0.319375,1.449428,0.064116,-0.767131,1.432383,0.017046,0.349180,0.141660,0.123319,2.334989,73.305917,4.378931,393.475008
13900,3,0.000292,1.730156,-0.319521,1.445737,0.063945,-0.767005,1.428324,0.017413,0.355430,0.127773,0.127549,2.340007,69.377857,4.379162,393.073715
14000,3,0.000292,1.794062,-0.317324,1.443835,0.064182,-0.763000,1.427518,0.016317,0.353828,0.128281,0.126449,2.316670,105.582179,4.379360,392.675371
14000,0.003068,0.003872,0.004777,-0.377810,0.003960,-0.763540,0.065810,0.332520,0.018013,2.219565,0.122306,0.111272
14100,3,0.000292,1.676484,-0.320479,1.453011,0.064229,-0.769404,1.436675,0.016336,0.353555,0.124370,0.122450,2.310207,208.004073,4.379156,392.313054
14200,3,0.000292,1.990938,-0.315898,1.447969,0.064136,-0.760118,1.430158,0.017811,0.356367,0.131797,0.125243,2.334428,44.170955,4.379342,391.915763
14300,3,0.000292,1.782109,-0.314336,1.443827,0.064160,-0.757054,1.427435,0.016393,0.350078,0.140830,0.117877,2.324102,96.360879,4.379466,391.524138
14400,3,0.000292,1.565313,-0.318828,1.446853,0.063921,-0.765344,1.430746,0.016107,0.351133,0.139663,0.120143,2.346140,71.769599,4.379613,391.130461
14500,3,0.000291,1.552578,-0.318281,1.445911,0.063906,-0.764374,1.428997,0.016914,0.353555,0.136895,0.123838,2.329446,186.530064,4.379756,390.737125
14600,3,0.000291,1.496328,-0.321875,1.444990,0.064062,-0.771891,1.428618,0.016372,0.359570,0.137529,0.120668,2.361338,157.244281,4.379915,390.342469
14700,3,0.000291,1.628047,-0.313359,1.447802,0.064204,-0.755168,1.431376,0.016426,0.349805,0.123833,0.128160,2.373499,33.899636,4.380191,389.937301
14800,3,0.000291,2.472109,-0.317998,1.441678,0.064180,-0.764293,1.423107,0.018571,0.353477,0.121099,0.128739,2.347730,329.435089,4.380357,389.542084
14900,3,0.000291,1.448750,-0.317588,1.445034,0.064106,-0.763543,1.429594,0.015440,0.356250,0.132588,0.124336,2.336988,66.802794,4.380416,389.156364
15000,3,0.000291,1.581797,-0.317930,1.443226,0.064011,-0.763858,1.426726,0.016500,0.356719,0.142568,0.120328,2.340187,85.716175,4.380696,388.751035
15100,3,0.000291,1.751484,-0.319785,1.448157,0.064092,-0.768268,1.433387,0.014770,0.352031,0.144844,0.123554,2.360159,139.933913,4.380273,388.408045
15200,3,0.000290,1.382422,-0.316465,1.441038,0.064246,-0.761466,1.425474,0.015564,0.355859,0.146377,0.124952,2.336195,187.353344,4.380516,388.006059
15300,3,0.000290,1.366953,-0.315391,1.440081,0.064126,-0.759102,1.424945,0.015136,0.354766,0.137612,0.126463,2.313151,50.862900,4.380609,387.617325
15400,3,0.000290,1.678516,-0.314043,1.442948,0.064199,-0.756258,1.427117,0.015832,0.354102,0.133232,0.123262,2.321216,174.247897,4.380873,387.213581
15500,3,0.000290,2.062031,-0.317393,1.444917,0.064287,-0.763374,1.427040,0.017877,0.357695,0.143340,0.124675,2.297531,25.784877,4.380925,386.828513
15600,3,0.000290,1.829609,-0.322480,1.440717,0.064097,-0.773239,1.425584,0.015134,0.353398,0.142285,0.120711,2.279000,40.924265,4.381145,386.428698
15700,4,0.000290,2.552656,-0.315977,1.444777,0.064175,-0.760272,1.429592,0.015185,0.353438,0.148721,0.116720,2.332413,50.096446,4.380367,386.116846
15800,4,0.000290,1.797187,-0.313867,1.456575,0.064194,-0.756297,1.439912,0.016663,0.347383,0.149375,0.121393,2.269994,85.670651,4.380518,385.723009
15900,4,0.000289,1.552500,-0.313223,1.461025,0.064321,-0.755152,1.442034,0.018992,0.352852,0.141455,0.121897,2.293692,215.007755,4.380652,385.330810
16000,4,0.000289,1.442813,-0.316582,1.469884,0.064116,-0.761391,1.448774,0.021110,0.348242,0.128936,0.135458,2.351711,170.237218,4.380924,384.926394
