step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
7200,1,0.000298,0.242627,-0.052930,1.970379,0.007601,-0.663857,1.848073,0.122306,0.222617,0.062417,0.079651,1.566886,1.086425,5.038940,363.766999,21.627127
7300,1,0.000298,0.242202,-0.053994,1.974635,0.007618,-0.674454,1.851305,0.123330,0.219805,0.058184,0.081186,1.578824,0.661462,5.043801,363.085930,21.646686
7400,1,0.000298,0.242107,-0.053977,1.973895,0.007746,-0.675047,1.849206,0.124689,0.220938,0.054331,0.081504,1.642869,0.485678,5.047593,362.482978,21.712047
7500,1,0.000298,0.242408,-0.053245,1.971022,0.007672,-0.667647,1.847923,0.123099,0.221055,0.062815,0.080287,1.624461,0.523275,5.052355,361.811455,21.725948
7600,1,0.000298,0.243932,-0.051831,1.971754,0.007817,-0.655886,1.848643,0.123111,0.219844,0.062576,0.081151,1.611500,0.648477,5.056790,361.164572,21.748460
7700,1,0.000298,0.243138,-0.053206,1.975628,0.007691,-0.667572,1.850894,0.124733,0.218789,0.061865,0.082260,1.633946,0.611061,5.060795,360.549383,21.745547
7800,1,0.000298,0.243759,-0.052399,1.974391,0.007738,-0.660553,1.851070,0.123322,0.221484,0.054768,0.082880,1.680747,0.610485,5.065098,359.914060,21.748190
7900,2,0.000298,0.241342,-0.054281,1.970816,0.007674,-0.677519,1.846487,0.124329,0.218008,0.053418,0.081134,1.619918,0.531227,5.063064,359.729480,21.747185
8000,2,0.000298,0.243509,-0.053192,1.978009,0.007642,-0.666845,1.851941,0.126069,0.218945,0.049299,0.087670,1.740565,0.472820,5.065059,359.258708,21.872083
8000,0.006055,0.007448,0.008631,-0.052401,0.007362,-0.657105,0.069468,0.227539,0.127397,1.709797,0.044285,0.083442,21.786050
8100,2,0.000298,0.241648,-0.053771,1.969459,0.007671,-0.673355,1.846979,0.122479,0.223828,0.051938,0.088244,1.726216,0.475744,5.066519,358.826255,21.927487
8200,2,0.000298,0.242894,-0.052918,1.972080,0.007666,-0.664827,1.849061,0.123019,0.223203,0.054502,0.088092,1.689743,0.468081,5.070622,358.207173,21.925351
8300,2,0.000298,0.244002,-0.051948,1.973001,0.007699,-0.656278,1.848911,0.124090,0.218789,0.046885,0.088823,1.776655,0.457568,5.074239,357.623381,22.082705
8400,2,0.000298,0.242363,-0.053580,1.972951,0.007608,-0.670497,1.849193,0.123758,0.217812,0.037024,0.094926,1.876559,0.488525,5.077468,357.067717,22.421592
8500,2,0.000298,0.242612,-0.052436,1.966989,0.007576,-0.659256,1.844640,0.122349,0.221797,0.048374,0.095427,1.834969,0.458481,5.081332,356.468225,22.593416
8600,2,0.000298,0.243202,-0.053285,1.976575,0.007621,-0.668389,1.853103,0.123472,0.221914,0.046584,0.096836,1.997400,0.383098,5.086891,355.751036,22.997477
8700,2,0.000298,0.241897,-0.054744,1.977608,0.007575,-0.681640,1.852067,0.125541,0.218203,0.037296,0.094189,2.142217,0.416305,5.088370,355.320039,23.281166
8800,2,0.000297,0.241989,-0.053146,1.967564,0.007557,-0.666176,1.844462,0.123102,0.221016,0.037322,0.094142,2.096362,0.352482,5.091429,354.779271,23.495895
8900,2,0.000297,0.242874,-0.053701,1.977167,0.007656,-0.672607,1.850294,0.126874,0.218125,0.031746,0.097465,2.231114,0.364692,5.093210,354.327974,23.953710
