step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
8400,2,0.000298,0.372051,-0.317090,1.378431,0.064106,-0.762539,1.372901,0.005530,0.388945,0.140239,0.123118,1.748235,1.388626,4.590110,394.979622
8500,2,0.000298,0.373359,-0.318896,1.384429,0.064131,-0.765762,1.378659,0.005769,0.389297,0.138618,0.122795,1.803323,1.422400,4.590478,394.584872
8600,2,0.000298,0.365566,-0.323066,1.377363,0.064111,-0.774218,1.370861,0.006502,0.390430,0.127847,0.125640,1.747398,1.497202,4.590761,394.197556
8700,2,0.000298,0.371699,-0.317676,1.378822,0.064006,-0.763703,1.370880,0.007942,0.388633,0.136113,0.125415,1.794118,1.636091,4.590557,393.852003
8800,2,0.000297,0.372812,-0.317891,1.381599,0.064062,-0.764333,1.375437,0.006162,0.389570,0.129297,0.129242,1.771600,1.421057,4.590691,393.477440
8900,2,0.000297,0.370059,-0.323652,1.387682,0.064126,-0.775337,1.381671,0.006011,0.384141,0.129873,0.125120,1.775361,1.482903,4.590615,393.120914
9000,2,0.000297,0.376914,-0.315439,1.384753,0.064155,-0.759134,1.379267,0.005486,0.377734,0.130449,0.125967,1.855035,1.409706,4.590740,392.747177
9100,2,0.000297,0.376387,-0.315996,1.384711,0.064204,-0.760647,1.378559,0.006152,0.386133,0.132290,0.123845,1.784309,1.359361,4.590611,392.395078
9200,2,0.000297,0.369590,-0.322832,1.384764,0.064141,-0.774080,1.378459,0.006306,0.387031,0.135015,0.128842,1.805669,1.496454,4.590800,392.015912
9300,2,0.000297,0.365801,-0.323027,1.377565,0.064038,-0.774179,1.372015,0.005550,0.388398,0.124404,0.126591,1.848705,1.397563,4.590957,391.639438
9400,2,0.000297,0.370312,-0.320117,1.380766,0.064126,-0.768455,1.375079,0.005687,0.389102,0.139985,0.129658,1.819098,1.298352,4.591209,391.254933
9500,2,0.000297,0.373008,-0.320742,1.387666,0.064067,-0.769748,1.382129,0.005537,0.384766,0.125366,0.128566,1.740179,1.323970,4.591244,390.888954
