step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
11800,3,0.000295,0.763301,-0.071847,1.670295,0.004252,-0.760990,1.666760,0.003534,0.316484,0.039934,0.148667,3.212451,0.923422,11.326289,155.066968,63.586419
11900,3,0.000295,0.766822,-0.070306,1.674256,0.004276,-0.745817,1.670940,0.003316,0.316836,0.039753,0.151240,3.208508,0.928447,11.325017,154.937218,63.806719
12000,3,0.000294,0.764020,-0.070821,1.669683,0.004331,-0.751529,1.666715,0.002968,0.320195,0.037942,0.148779,3.187354,0.860612,11.326159,154.774451,64.048787
12000,0.003038,0.003399,0.004247,-0.073460,0.003610,-0.770705,0.067389,0.319336,0.001811,3.196708,0.034539,0.152419,64.605303
12100,3,0.000294,0.763538,-0.070270,1.667615,0.004338,-0.746076,1.664319,0.003295,0.322656,0.039761,0.151560,3.224536,0.870336,11.325621,154.634644,64.236376
12200,3,0.000294,0.762374,-0.070669,1.666086,0.004311,-0.749800,1.662875,0.003211,0.324023,0.040991,0.149294,3.224505,0.926263,11.330599,154.419612,64.566069
12300,3,0.000294,0.764141,-0.069774,1.667830,0.004307,-0.740806,1.664492,0.003338,0.320234,0.037770,0.156010,3.229835,0.889658,11.328340,154.303280,64.419867
12400,3,0.000294,0.760617,-0.070380,1.661994,0.004239,-0.746189,1.658624,0.003369,0.328164,0.034832,0.154471,3.235450,0.913157,11.330420,154.127861,64.428838
12500,3,0.000294,0.767240,-0.070297,1.675074,0.004320,-0.746171,1.671722,0.003352,0.320820,0.033446,0.148873,3.239424,0.872778,11.330088,153.985276,64.414602
12600,3,0.000294,0.763918,-0.070230,1.668296,0.004271,-0.745012,1.665074,0.003222,0.328086,0.035555,0.148108,3.239291,0.855979,11.329267,153.849313,64.679658
12700,3,0.000294,0.762709,-0.069903,1.665224,0.004279,-0.741825,1.661710,0.003514,0.326328,0.035518,0.148563,3.269843,0.833519,11.334706,153.628452,64.771103
12800,3,0.000294,0.763851,-0.069052,1.665807,0.004299,-0.733513,1.662522,0.003285,0.324531,0.041414,0.151317,3.293303,0.859949,11.334474,153.484549,65.027023
12900,3,0.000293,0.759427,-0.071532,1.661918,0.004252,-0.757842,1.658726,0.003192,0.326367,0.043708,0.143430,3.294584,0.879991,11.338971,153.276691,65.569710
13000,3,0.000293,0.764856,-0.071071,1.671854,0.004220,-0.752913,1.668647,0.003207,0.322070,0.044148,0.145742,3.286072,0.861408,11.337514,153.149389,65.618503
13100,3,0.000293,0.763474,-0.070025,1.666997,0.004261,-0.742863,1.663981,0.003016,0.320742,0.037896,0.147645,3.317769,0.851209,11.338565,152.988208,65.042252
13200,3,0.000293,0.765074,-0.070347,1.670841,0.004357,-0.747038,1.667497,0.003344,0.320078,0.038507,0.147817,3.302472,0.929053,11.340140,152.819981,65.432733
13300,3,0.000293,0.761481,-0.070625,1.664210,0.004196,-0.748202,1.660750,0.003461,0.322461,0.040956,0.141979,3.286251,0.895635,11.342947,152.635228,66.016907
13400,3,0.000293,0.761764,-0.070567,1.664661,0.004291,-0.748574,1.661685,0.002976,0.327188,0.036167,0.146350,3.292111,0.863848,11.344945,152.461447,66.198539
13500,3,0.000293,0.760166,-0.070681,1.661694,0.004253,-0.749342,1.658701,0.002993,0.324727,0.035281,0.145020,3.329156,0.887175,11.344547,152.319877,66.779395
13600,3,0.000293,0.759778,-0.071034,1.661623,0.004220,-0.752533,1.658429,0.003194,0.322539,0.036281,0.147076,3.382129,0.871845,11.343373,152.188709,66.841004
13700,3,0.000292,0.757033,-0.070680,1.655426,0.004315,-0.749945,1.651944,0.003482,0.333320,0.035968,0.146366,3.371597,0.869198,11.344162,152.031206,66.938478
13800,3,0.000292,0.763022,-0.070983,1.668009,0.004239,-0.752221,1.664572,0.003437,0.324805,0.035063,0.148114,3.355852,0.858670,11.346732,151.849894,66.824074
13900,3,0.000292,0.760617,-0.070733,1.662700,0.004244,-0.749771,1.659615,0.003085,0.324297,0.034907,0.148761,3.335500,0.848179,11.348135,151.684244,67.215742
14000,3,0.000292,0.758094,-0.070756,1.657701,0.004250,-0.750062,1.654525,0.003175,0.324570,0.041675,0.147764,3.333791,0.827843,11.346478,151.559511,67.161208
14000,0.003173,0.003747,0.004384,-0.075460,0.003622,-0.790828,0.069224,0.324219,0.002612,3.406108,0.037083,0.164216,66.926332
14100,3,0.000292,0.761200,-0.069930,1.662259,0.004193,-0.741221,1.659180,0.003079,0.327578,0.038938,0.148283,3.381360,0.877135,11.343478,151.452669,67.343296
14200,3,0.000292,0.762257,-0.069760,1.664034,0.004234,-0.739940,1.660977,0.003056,0.322461,0.034398,0.150519,3.401306,0.883618,11.345231,151.282365,67.490513
14300,3,0.000292,0.758566,-0.070219,1.657570,0.004298,-0.745163,1.654429,0.003141,0.329531,0.036338,0.149408,3.370231,0.826492,11.347081,151.110812,67.935047
14400,3,0.000292,0.759885,-0.071224,1.662219,0.004222,-0.754467,1.659198,0.003021,0.323789,0.034989,0.150911,3.358886,0.845516,11.346586,150.970526,68.493561
14500,3,0.000291,0.765506,-0.070411,1.671834,0.004219,-0.746302,1.668516,0.003318,0.322734,0.036895,0.151628,3.375746,0.820702,11.346299,150.827443,68.671508
14600,3,0.000291,0.760851,-0.070783,1.663268,0.004232,-0.750147,1.660225,0.003042,0.325664,0.035493,0.155965,3.367401,0.827813,11.350757,150.621381,68.194247
14700,3,0.000291,0.759174,-0.070823,1.659993,0.004205,-0.750277,1.657169,0.002824,0.326641,0.040635,0.150394,3.357811,0.838324,11.353457,150.438767,68.261627
14800,3,0.000291,0.761703,-0.070327,1.664061,0.004260,-0.745870,1.660707,0.003354,0.326133,0.038512,0.154128,3.385412,0.900019,11.353723,150.288438,68.609601
14900,3,0.000291,0.760186,-0.071201,1.662775,0.004249,-0.754498,1.659600,0.003175,0.325195,0.033815,0.154657,3.421544,0.831643,11.354055,150.137256,68.761025
15000,3,0.000291,0.759093,-0.070916,1.660017,0.004181,-0.750965,1.656653,0.003364,0.326094,0.034636,0.149887,3.416744,0.831156,11.358570,149.930840,69.534699
