step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
12900,2,0.000276,-2.942442,-1.942890,0.284291,0.024917,-1.955348,0.184923,0.030184,0.935156,0.002297,0.032727,1.000000,39.355594,23.420807,34.214591,3.544844
13000,2,0.000275,-2.821221,-1.941416,0.286137,0.025111,-1.953972,0.186050,0.030886,0.937539,0.002252,0.031065,1.000000,39.037860,23.423261,34.139852,3.526333
13100,2,0.000275,-2.969998,-1.972530,0.293500,0.024413,-1.984737,0.188551,0.035907,0.934219,0.002448,0.031173,1.000000,34.996780,23.425676,34.065186,3.711497
13200,2,0.000274,-2.914588,-1.964891,0.289866,0.024432,-1.977107,0.189559,0.031076,0.934883,0.002594,0.031161,1.000000,33.969029,23.429060,33.989129,3.511793
13300,2,0.000274,-3.067464,-1.938649,0.306474,0.025202,-1.951249,0.190787,0.046410,0.935117,0.002302,0.032276,1.000000,40.892343,23.431369,33.914650,3.457522
13400,2,0.000273,-2.955909,-1.958784,0.289506,0.024655,-1.971112,0.184491,0.035765,0.938008,0.002434,0.031393,1.000000,38.029232,23.433691,33.840166,3.579312
13500,2,0.000273,-3.073184,-1.932325,0.298026,0.025106,-1.944878,0.194493,0.034369,0.934883,0.002485,0.032456,1.000000,37.915865,23.436118,33.765547,3.642896
13600,2,0.000272,-3.108339,-1.946708,0.286281,0.025135,-1.959275,0.182647,0.034545,0.937695,0.002490,0.031853,1.000000,35.014124,23.439830,33.689096,3.577849
13700,2,0.000272,-3.117702,-1.945852,0.282990,0.024615,-1.958159,0.188724,0.025074,0.933711,0.002617,0.031528,1.000000,33.643223,23.442851,33.613659,3.474984
13800,2,0.000271,-3.152465,-1.946609,0.289482,0.024786,-1.959002,0.186058,0.034281,0.937070,0.002733,0.031578,1.000000,28.903182,23.442810,33.542623,3.565578
13900,2,0.000271,-3.186967,-1.952409,0.284214,0.024426,-1.964622,0.186572,0.028529,0.936914,0.002174,0.031723,1.000000,24.618661,23.442784,33.471565,3.541596
14000,2,0.000270,-3.191385,-1.948441,0.296238,0.025068,-1.960975,0.188572,0.038534,0.935859,0.002295,0.032301,1.000000,40.032068,23.445639,33.396403,3.694611
14000,-1.732223,-1.747684,0.030922,0.014787,0.976562,0.514160,1.000000,0.002384,0.050062,3.163564
14100,2,0.000270,-3.194824,-1.943789,0.285173,0.024746,-1.956162,0.183550,0.032520,0.937070,0.002323,0.031155,1.000000,33.781735,23.437857,33.336382,3.389265
14200,2,0.000270,-3.220130,-1.952780,0.274838,0.024810,-1.965185,0.183953,0.021877,0.938633,0.002692,0.031320,1.000000,33.055579,23.439635,33.262747,3.501846
14300,2,0.000269,-3.240765,-1.961770,0.272932,0.024766,-1.974153,0.178187,0.025637,0.940352,0.002519,0.031118,1.000000,28.501465,23.442684,33.187326,3.489611
14400,2,0.000269,-3.188924,-1.951396,0.288639,0.024960,-1.963876,0.190608,0.028929,0.935898,0.002434,0.030786,1.000000,31.022029,23.446487,33.110860,3.291000
14500,2,0.000268,-3.260017,-1.942426,0.284881,0.024864,-1.954858,0.183640,0.032092,0.937383,0.002352,0.031898,1.000000,41.189631,23.448659,33.036715,3.658899
14600,2,0.000268,-3.276255,-1.952037,0.281264,0.024983,-1.964528,0.183695,0.028512,0.937617,0.002486,0.031086,1.000000,31.558173,23.450500,32.963050,3.554470
14700,2,0.000267,-3.286813,-1.934560,0.281879,0.025037,-1.947078,0.182100,0.030635,0.937930,0.002282,0.031578,1.000000,31.430978,23.452791,32.888766,3.450931
14800,2,0.000267,-3.241839,-1.930587,0.331625,0.025122,-1.943149,0.224276,0.038155,0.925312,0.002371,0.030308,1.000000,42.486030,23.455963,32.813262,3.315756
14900,2,0.000266,-3.244380,-1.938911,0.331250,0.025048,-1.951435,0.223142,0.038989,0.925039,0.002839,0.031530,1.000000,31.944179,23.458411,32.738791,3.352395
