step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu,mean_mse,pred_mean_std
5450,12,0.000279,-9.801018,-0.728680,0.752739,0.070393,-0.774695,0.000001,0.752738,1.000000,0.015703,0.078565,1.000000,288.388871,11.186374,25.253937,2.361824,0.036061,0.008964
5500,12,0.000279,-10.179260,-0.724206,0.368456,0.070630,-0.772198,0.000001,0.368455,1.000000,0.015797,0.079146,1.000000,185.928591,11.188347,25.175002,2.345518,0.042257,0.009391
5550,12,0.000278,-9.880868,-0.711089,0.434562,0.072153,-0.759448,0.000001,0.434560,1.000000,0.016128,0.077710,1.000000,205.737186,11.190290,25.096163,2.309363,0.040941,0.008871
5600,12,0.000278,-9.690504,-0.720097,0.507185,0.071428,-0.768775,0.000002,0.507184,1.000000,0.015997,0.078351,1.000000,142.306434,11.192207,25.017408,2.313943,0.043212,0.009791
5650,12,0.000277,-9.984502,-0.714520,0.580359,0.071789,-0.763449,0.000001,0.580357,1.000000,0.017507,0.078569,1.000000,150.449347,11.194069,24.938801,2.404346,0.043447,0.011130
5700,12,0.000276,-10.054999,-0.716289,0.501574,0.071142,-0.763669,0.000001,0.501573,1.000000,0.016003,0.077655,1.000000,280.815802,11.195908,24.860273,2.303514,0.039365,0.009438
5750,12,0.000276,-10.339893,-0.718857,0.316507,0.071506,-0.768711,0.000001,0.316506,1.000000,0.016587,0.080002,1.000000,103.288545,11.197502,24.782312,2.372468,0.047005,0.008889
5800,12,0.000275,-8.937320,-0.725038,0.453316,0.070872,-0.774041,0.000001,0.453315,1.000000,0.015907,0.078981,1.000000,83.535406,11.199271,24.703989,2.344923,0.045224,0.009006
5850,13,0.000274,-9.148682,-0.718153,0.558253,0.071224,-0.765471,0.000001,0.558252,1.000000,0.015737,0.078223,1.000000,151.079627,11.194556,24.639953,2.312481,0.039018,0.009945
5900,13,0.000274,-9.940504,-0.712035,0.750704,0.072164,-0.762235,0.000001,0.750703,1.000000,0.016567,0.078790,1.000000,71.515104,11.196308,24.561668,2.317220,0.047058,0.010547
5950,13,0.000273,-10.044137,-0.725418,0.526700,0.070447,-0.773141,0.000001,0.526699,1.000000,0.015487,0.077001,1.000000,59.696478,11.198017,24.483502,2.343321,0.041665,0.009659
6000,13,0.000273,-10.466011,-0.728145,0.299112,0.070440,-0.774778,0.000001,0.299112,1.000000,0.016051,0.079439,1.000000,13.783093,11.199724,24.405363,2.381412,0.038044,0.009099
