step,loss,nll,crps,mean_mse,pred_mean_std,grad_norm,mean_nu,lr
9300,-2.546381,-1.248867,0.026362,0.016379,0.008781,9.578359,2.675533,0.000283
9350,-2.532515,-1.223002,0.026092,0.016669,0.009590,9.564866,2.729431,0.000283
9400,-2.495623,-1.234151,0.025869,0.015611,0.009819,12.280304,2.752440,0.000283
9450,-2.521255,-1.221236,0.026352,0.017072,0.009247,15.074938,2.531900,0.000283
9500,-2.495826,-1.233184,0.026464,0.017402,0.009896,9.498798,2.634441,0.000282
9550,-2.536945,-1.246432,0.026262,0.016424,0.009854,11.318011,2.675894,0.000282
9600,-2.541415,-1.213055,0.026646,0.016343,0.009951,9.773129,2.644557,0.000282
9650,-2.551422,-1.227693,0.026124,0.015766,0.007987,11.004999,2.674541,0.000282
9700,-2.517336,-1.231160,0.026380,0.016968,0.008979,9.705582,2.613125,0.000281
9750,-2.512403,-1.236153,0.026007,0.015694,0.006308,12.053172,2.781660,0.000281
9800,-2.448287,-1.234137,0.026162,0.016111,0.008062,9.951846,2.632825,0.000281
9850,-2.568100,-1.256843,0.025567,0.015943,0.008798,12.516308,2.668824,0.000281
9900,-2.540208,-1.218730,0.026233,0.015436,0.007876,11.007723,2.682460,0.000280
9950,-2.524652,-1.248851,0.026152,0.015408,0.008137,8.915641,2.655617,0.000280
10000,-2.517344,-1.244503,0.026104,0.015709,0.008645,11.184032,2.655062,0.000280
10050,-2.514944,-1.220667,0.026355,0.016092,0.008840,11.165713,2.658340,0.000280
10100,-2.486263,-1.236087,0.026438,0.016345,0.007913,11.359977,2.633287,0.000279
10150,-2.504142,-1.211360,0.026956,0.016741,0.008488,12.547614,2.726187,0.000279
10200,-2.553729,-1.212219,0.027156,0.017683,0.008771,12.291031,2.700869,0.000279
10250,-2.519634,-1.224600,0.026783,0.016691,0.009518,16.868830,2.627017,0.000279
10300,-2.492808,-1.219213,0.026529,0.016116,0.007273,10.109197,2.675264,0.000278
10350,-2.502235,-1.216470,0.026962,0.017489,0.007309,9.069507,2.642060,0.000278
10400,-2.505617,-1.239601,0.026517,0.016555,0.007646,10.665205,2.733243,0.000278
10450,-2.514369,-1.225862,0.026348,0.017474,0.008683,12.875200,2.635261,0.000278
10500,-2.464060,-1.216053,0.026768,0.016545,0.008116,16.034588,2.616108,0.000277
10550,-2.563313,-1.242700,0.026289,0.017016,0.009833,10.484663,2.689797,0.000277
10600,-2.499406,-1.217281,0.026627,0.016444,0.009273,14.218527,2.580246,0.000277
10650,-2.524455,-1.217135,0.027473,0.016840,0.007305,12.096983,2.674011,0.000277
10700,-2.547084,-1.244344,0.025904,0.015959,0.008802,9.615672,2.619101,0.000276
10750,-2.559544,-1.249343,0.025850,0.015217,0.007540,19.421677,2.610550,0.000276
10800,-2.446954,-1.216811,0.026855,0.016610,0.007648,19.097199,2.596787,0.000276
10850,-2.579814,-1.250463,0.026102,0.015098,0.008524,12.350318,2.757515,0.000276
10900,-2.490296,-1.243802,0.026013,0.017037,0.008513,12.799266,2.720906,0.000275
10950,-2.541826,-1.260361,0.025469,0.014776,0.009304,9.935715,2.692622,0.000275
11000,-2.494073,-1.218925,0.026762,0.018017,0.010236,11.027925,2.674799,0.000275
11050,-2.547406,-1.220702,0.027060,0.016558,0.009771,9.299227,2.679540,0.000275
11100,-2.574533,-1.231252,0.027045,0.016982,0.007994,13.908069,2.711456,0.000274
11150,-2.501570,-1.235949,0.026340,0.016277,0.008853,13.655088,2.558589,0.000274
11200,-2.558764,-1.242621,0.026524,0.015428,0.008243,8.699166,2.764171,0.000274
11250,-2.539846,-1.223484,0.026484,0.017492,0.007059,8.784418,2.743251,0.000273
11300,-2.529261,-1.245328,0.026067,0.016385,0.009376,13.770956,2.616738,0.000273
11350,-2.520142,-1.223450,0.027134,0.016550,0.007285,10.405811,2.587566,0.000273
11400,-2.487059,-1.224624,0.026669,0.017093,0.008309,9.780335,2.664598,0.000273
11450,-2.547365,-1.230554,0.026112,0.016351,0.009307,10.135273,2.643791,0.000272
11500,-2.554389,-1.213676,0.027193,0.016715,0.007935,7.741102,2.699812,0.000272
11550,-2.574165,-1.241130,0.026853,0.016251,0.007847,14.216059,2.704497,0.000272
11600,-2.567874,-1.242288,0.026165,0.015702,0.009703,9.915256,2.644850,0.000271
11650,-2.552375,-1.235843,0.026498,0.015761,0.007781,9.355363,2.586911,0.000271
